ISP,num_probes,avg_dl,sd_dl,avg_ul,sd_ul,median_dl,median_ul
CenturyLink,556,15.1385,13.2753,1.7729,2.6168,10.0000,0.8960
Frontier,490,47.3939,45.2793,41.5832,49.6154,24.0000,1.5000
Windstream,345,13.1913,7.9602,1.0612,0.4065,12.0000,0.7680
Comcast,305,159.3443,106.1508,7.4754,3.2727,150.0000,5.0000
Cincinnati Bell,276,99.0942,104.5427,35.0240,44.6538,50.0000,10.0000
Charter,235,144.5957,93.2975,10.5106,4.9737,100.0000,10.0000
Cox,219,141.0959,99.5895,13.1735,10.0662,100.0000,10.0000
Verizon,194,70.7474,20.1506,70.5412,20.3108,75.0000,75.0000
AT&T,173,11.4509,5.4340,1.1520,0.4025,12.0000,1.0000
Optimum,151,190.3974,94.1126,35.0000,0.0000,200.0000,35.0000
Mediacom,122,83.9344,19.6901,7.9918,2.4613,100.0000,10.0000
Verizon DSL,62,3.0000,0.0000,0.7680,0.0000,3.0000,0.7680
