State,num_probes,avg_dl,sd_dl,avg_ul,sd_ul,median_dl,median_ul
OH,299,90.2124,103.7574,26.7928,40.4376,50.0000,5.0000
CA,236,97.2500,100.3736,30.4799,42.7272,75.0000,10.0000
PA,156,50.4263,66.3083,16.2495,28.4551,24.0000,1.5000
TX,152,76.9704,84.2582,38.7544,48.0616,60.0000,10.0000
NY,145,127.3207,107.2209,30.2715,23.1876,100.0000,35.0000
FL,143,68.7483,68.7064,35.3716,46.0115,60.0000,10.0000
KY,128,66.4453,90.5580,17.9840,34.8210,25.0000,1.5000
IA,126,57.5714,37.1783,5.3910,3.8437,60.0000,5.0000
WA,119,64.2479,91.2580,14.2736,26.7374,25.0000,5.0000
GA,118,27.0339,45.9836,2.4124,4.4098,12.0000,1.0000
VA,112,93.0446,83.4093,35.7757,34.3337,75.0000,30.0000
AZ,108,96.1759,98.0451,8.5918,9.1265,60.0000,5.0000
NJ,107,158.3645,102.3939,34.9671,20.4094,100.0000,35.0000
NC,94,55.1383,78.8206,5.1274,9.2431,20.0000,1.5000
CO,91,63.1264,103.9440,3.3476,3.0032,20.0000,2.0000
MN,84,44.3036,77.7748,3.2606,3.9620,20.0000,1.0000
OR,76,68.0461,84.7191,31.6073,41.0196,50.0000,10.0000
CT,71,67.1268,77.9364,10.4436,15.6256,18.0000,1.5000
MO,62,48.1613,70.5208,3.6859,4.7672,16.5000,1.5000
WI,61,36.3033,59.1050,2.7947,3.9936,12.0000,1.0000
IL,55,43.0727,49.2164,3.5905,3.8525,18.0000,1.5000
MA,50,101.8600,78.6047,30.9101,35.0168,75.0000,10.0000
MD,50,86.4400,61.9484,50.8614,36.8001,75.0000,50.0000
NM,46,34.5326,60.9455,2.6472,3.8286,12.0000,0.8960
MI,45,51.2111,63.5580,4.3154,5.0836,18.0000,1.0000
IN,42,39.3214,47.8639,14.1798,38.9240,18.0000,1.0000
OK,37,62.3108,79.0110,5.2028,7.0551,30.0000,3.0000
NV,28,74.1964,100.0261,7.8601,10.1470,30.0000,3.0000
NE,27,33.2593,41.9829,2.7754,3.2696,20.0000,1.5000
AL,25,17.8000,20.9359,1.5579,2.0004,12.0000,0.7680
AR,25,55.5600,84.1585,5.2531,8.2684,24.0000,1.5000
ID,24,20.0000,16.1029,2.5740,4.0815,12.0000,0.8960
HI,23,148.2609,94.1301,11.0870,6.3883,100.0000,10.0000
TN,22,49.4091,62.3200,3.9462,4.7831,21.0000,1.5000
LA,21,114.7857,115.2103,10.9192,11.5199,100.0000,10.0000
KS,21,95.8333,99.6491,8.8850,9.7001,100.0000,10.0000
UT,21,50.1667,71.3175,3.6050,3.2690,20.0000,2.0000
WV,15,14.8000,7.1234,1.0203,0.2873,12.0000,1.0000
SC,14,49.5357,71.6365,3.4529,4.3059,12.0000,1.0000
DE,10,108.5000,55.5303,46.0000,42.1505,100.0000,42.5000
MS,8,29.1250,33.4469,2.5670,3.3266,15.0000,1.0000
RI,6,72.5000,34.3147,48.5000,48.2276,87.5000,42.5000
NH,6,176.6667,85.2447,8.3333,2.5820,200.0000,10.0000
DC,5,152.0000,90.9395,45.0000,50.2494,100.0000,10.0000
MT,5,9.7000,9.4710,0.9376,0.6491,7.0000,0.8960
ME,2,105.0000,63.6396,5.0000,0.0000,105.0000,5.0000
WY,2,2.2500,1.0607,0.7680,0.1810,2.2500,0.7680
az,1,40.0000,,5.0000,,40.0000,5.0000
ND,1,7.0000,,0.8960,,7.0000,0.8960
SD,1,40.0000,,2.0000,,40.0000,2.0000
VT,1,100.0000,,10.0000,,100.0000,10.0000
wv,1,150.0000,,5.0000,,150.0000,5.0000
